Status,Precio USD,Area m2,USD/m2,Ambientes,Direccion,Notas,URL
pending,80000,44,1818,1,"Migueletes","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-monoambiente-en-venta.-jardin.-en-planta-baja-ideal-58828136.html
pending,87000,52,1673,2,"Av. Alvarez Jonte 1800","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-excelente-2-amb-amplio-impecable-con-balcon-vista-57070245.html
rejected,,281,,4,"Migueletes  al 1600","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-mirabilia-golf-con-terraza-propia!-57081482.html
rejected,99000,47,2106,2,"Aguilar al 2300","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-a-m-del-subte-y-metrobus!-luminoso-2-amb-con-baulera-57727381.html
pending,93000,47,1979,2,"Ricardo Gutierrez 3200","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-en-villa-del-parque-58937612.html
pending,98500,95,1037,3,"Jose Cubas 2300","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-en-villa-urquiza-capital-59084883.html
pending,,58,,2,"Charlone 1400","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-2-ambientes-villa-ortuzar-parrilla-propia-58895251.html
pending,83000,43,1930,2,"Uruguay 879","",https://www.zonaprop.com.ar/propiedades/clasificado/veclappa-duplex-elegante-recoleta-dueno-directo-oportunidad-58757067.html
rejected,90000,44,2045,3,"Avenida Raúl Scalabrini Ortiz 2000","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-3-amb-palermo-44-m-sup2--apto-59076891.html
rejected,99000,86,1151,4,"Gral. José Gervasio Artigas 3050, C1417DKE Cdad. Autónoma de Buenos Aires, Argentina, Villa del Parque, Capital Federal, Argentina.","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-apto-credito-departamento-de-4-ambientes-en-58644880.html
pending,,83,,3,"Billinghurst 1600","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-consultorio-3-amb-c-patio-apto-prof-palermo-58876564.html
rejected,99000,43,2302,2,"Avenida Álvarez Thomas 3200","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-2-ambientes-en-villa-urquiza-58872148.html
pending,79900,48,1665,3,"Avenida Juan B. Justo 2633","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-3-amb-muy-luminoso!-a-2-cuadras-del-subte-58488173.html
pending,98000,56,1750,3,"Alfredo Bufano 2368","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-tres-amb.-amplia-cocina-comedor.-apto-credito-56902458.html
